date,category,key,card_name,fee,기본_30만,기본_40만,기본_50만,기본_60만,기본_70만,기본_80만,기본_100만,기본_120만,기본_150만,기본_200만,프로모_30만,프로모_40만,프로모_50만,프로모_60만,프로모_70만,프로모_80만,프로모_100만,프로모_120만,프로모_150만,프로모_200만
2026-08-16,렌탈,SK매직,KB국민 SK인텔릭스 올림카드,"국내전용 12,000원 / 국내외겸용(MasterCard) 15,000원",11000,11000,11000,11000,15000,15000,20000,20000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
2026-08-16,렌탈,SK매직,SK인텔릭스 플러스 하나카드,"국내전용 25,000원 / 해외겸용(MasterCard) 25,000원",13000,13000,13000,13000,13000,13000,18000,18000,25000,25000,,,,,,,,,,
2026-08-16,렌탈,SK매직,SK인텔릭스 우리카드,"국내전용 15,000원 / 해외겸용(MasterCard) 15,000원",10000,10000,10000,10000,15000,15000,15000,20000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
2026-08-16,렌탈,SK매직,SK인텔릭스 신한카드,"국내전용 25,000원 / 국내외겸용(MasterCard) 28,000원",12000,12000,12000,12000,15000,15000,15000,15000,25000,25000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
2026-08-16,렌탈,SK매직,SK인텔릭스 현대카드,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",,8000,8000,8000,8000,12000,12000,16000,16000,16000,,10000,10000,10000,10000,10000,10000,10000,10000,10000
2026-08-16,렌탈,쿠쿠,쿠쿠 삼성카드,"국내전용 15,000원 / 해외겸용(VISA) 15,000원",7000,7000,7000,7000,10000,10000,10000,13000,13000,13000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
2026-08-16,렌탈,쿠쿠,쿠쿠 하나카드,"국내외 겸용 12,000원",13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,,,,,,,,,
2026-08-16,렌탈,쿠쿠,쿠쿠 우리카드,"Master 15,000원 / BC Global 15,000원",10000,10000,10000,10000,15000,15000,15000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
2026-08-16,렌탈,쿠쿠,쿠쿠 렌탈II 국민카드,"국내&국내외 겸용(K-World(JCB), Master) 15,000원",12000,12000,12000,12000,17000,17000,17000,17000,17000,17000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
2026-08-16,렌탈,쿠쿠,쿠쿠 신한카드,"국내전용 27,000원 / 국내외겸용(VISA) 30,000원",13000,13000,13000,13000,17000,17000,17000,17000,30000,30000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
2026-08-16,렌탈,쿠쿠,쿠쿠 현대카드,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",,8000,8000,8000,8000,12000,12000,16000,16000,16000,,10000,10000,10000,10000,10000,10000,10000,10000,10000
2026-08-16,렌탈,LG전자,LG전자 플러스 하나카드,"국내전용 / 해외 23,000원",13000,13000,13000,13000,17000,17000,20000,20000,20000,20000,,,,,,,,,,
2026-08-16,렌탈,LG전자,광주은행 LG전자 베스트케어카드,"국내전용 14,000원 / 해외 15,000원",8000,8000,8000,8000,8000,8000,20000,20000,20000,20000,,,,,,,,,,
2026-08-16,렌탈,LG전자,LG전자 우리카드,"국내전용 15,000원 / Master 15,000원",10000,10000,10000,10000,15000,15000,15000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
2026-08-16,렌탈,LG전자,The 구독케어 신한카드,"국내/외 25,000원",13000,13000,13000,13000,26000,26000,26000,26000,30000,30000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
2026-08-16,렌탈,LG전자,LG전자 KB국민카드,"JCB 15,000원 / Master 15,000원",10000,10000,10000,10000,10000,15000,15000,15000,15000,15000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
2026-08-16,렌탈,LG전자,NH올원 LG전자 BEST카드,"국내전용 15,000원 / Master 17,000원",10000,10000,10000,15000,15000,15000,20000,20000,20000,20000,,,,,,,,,,
2026-08-16,렌탈,LG전자,전북은행 LG전자 베스트케어카드,"국내전용 14,000원 / 해외 15,000원",8000,8000,8000,8000,8000,8000,20000,20000,20000,20000,,,,,,,,,,
2026-08-16,렌탈,LG전자,LG전자 Platinum 우리카드,"국내전용 25,000원 / Master 25,000원",,,,,,,29000,29000,34000,40000,,,,,,,35000,35000,35000,35000
2026-08-16,렌탈,LG전자,LG 전자 현대카드,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",,8000,8000,8000,8000,12000,12000,16000,16000,16000,,,,,,,,,,
